NAME                                                                                 VERSION                                   TYPE      
alpine-baselayout                                                                    3.6.8-r1                                  apk        
alpine-baselayout-data                                                               3.6.8-r1                                  apk        
alpine-keys                                                                          2.5-r0                                    apk        
alpine-release                                                                       3.21.3-r0                                 apk        
apk-tools                                                                            2.14.6-r3                                 apk        
brotli-libs                                                                          1.1.0-r2                                  apk        
busybox                                                                              1.37.0-r12                                apk        
busybox-binsh                                                                        1.37.0-r12                                apk        
c-ares                                                                               1.34.3-r0                                 apk        
ca-certificates                                                                      20241121-r1                               apk        
ca-certificates-bundle                                                               20241121-r1                               apk        
cel.dev/expr                                                                         v0.19.0                                   go-module  
cloud.google.com/go                                                                  v0.116.0                                  go-module  
cloud.google.com/go/auth                                                             v0.14.0                                   go-module  
cloud.google.com/go/auth/oauth2adapt                                                 v0.2.7                                    go-module  
cloud.google.com/go/compute/metadata                                                 v0.6.0                                    go-module  
cloud.google.com/go/iam                                                              v1.2.2                                    go-module  
cloud.google.com/go/monitoring                                                       v1.21.2                                   go-module  
cloud.google.com/go/storage                                                          v1.49.0                                   go-module  
dario.cat/mergo                                                                      v1.0.1                                    go-module  
git                                                                                  2.47.2-r0                                 apk        
git-init-template                                                                    2.47.2-r0                                 apk        
github.com/Azure/azure-sdk-for-go                                                    v68.0.0+incompatible                      go-module  
github.com/Azure/azure-sdk-for-go/sdk/azcore                                         v1.17.0                                   go-module  
github.com/Azure/azure-sdk-for-go/sdk/azidentity                                     v1.8.2                                    go-module  
github.com/Azure/azure-sdk-for-go/sdk/internal                                       v1.10.0                                   go-module  
github.com/Azure/go-autorest/autorest                                                v0.11.29                                  go-module  
github.com/Azure/go-autorest/autorest/adal                                           v0.9.23                                   go-module  
github.com/Azure/go-autorest/autorest/date                                           v0.3.0                                    go-module  
github.com/Azure/go-autorest/logger                                                  v0.2.1                                    go-module  
github.com/Azure/go-autorest/tracing                                                 v0.6.0                                    go-module  
github.com/AzureAD/microsoft-authentication-library-for-go                           v1.3.3                                    go-module  
github.com/BurntSushi/toml                                                           v1.4.0                                    go-module  
github.com/CycloneDX/cyclonedx-go                                                    v0.9.2                                    go-module  
github.com/GoogleCloudPlatform/docker-credential-gcr                                 v2.0.5+incompatible                       go-module  
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp             v1.25.0                                   go-module  
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric           v0.48.1                                   go-module  
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping  v0.48.1                                   go-module  
github.com/Intevation/gval                                                           v1.3.0                                    go-module  
github.com/Intevation/jsonpath                                                       v0.2.1                                    go-module  
github.com/MakeNowJust/heredoc                                                       v1.0.0                                    go-module  
github.com/Masterminds/goutils                                                       v1.1.1                                    go-module  
github.com/Masterminds/semver/v3                                                     v3.3.0                                    go-module  
github.com/Masterminds/sprig/v3                                                      v3.3.0                                    go-module  
github.com/Masterminds/squirrel                                                      v1.5.4                                    go-module  
github.com/NYTimes/gziphandler                                                       v1.1.1                                    go-module  
github.com/ProtonMail/go-crypto                                                      v1.1.5                                    go-module  
github.com/VividCortex/ewma                                                          v1.2.0                                    go-module  
github.com/agext/levenshtein                                                         v1.2.3                                    go-module  
github.com/agnivade/levenshtein                                                      v1.2.1                                    go-module  
github.com/alecthomas/chroma                                                         v0.10.0                                   go-module  
github.com/anchore/go-struct-converter                                               v0.0.0-20221118182256-c68fdcfa2092        go-module  
github.com/apparentlymart/go-cidr                                                    v1.1.0                                    go-module  
github.com/apparentlymart/go-textseg/v15                                             v15.0.0                                   go-module  
github.com/aquasecurity/go-gem-version                                               v0.0.0-20201115065557-8eed6fe000ce        go-module  
github.com/aquasecurity/go-npm-version                                               v0.0.1                                    go-module  
github.com/aquasecurity/go-pep440-version                                            v0.0.1                                    go-module  
github.com/aquasecurity/go-version                                                   v0.0.1                                    go-module  
github.com/aquasecurity/iamgo                                                        v0.0.10                                   go-module  
github.com/aquasecurity/jfather                                                      v0.0.8                                    go-module  
github.com/aquasecurity/table                                                        v1.8.0                                    go-module  
github.com/aquasecurity/tml                                                          v0.6.1                                    go-module  
github.com/aquasecurity/trivy                                                        7f41822d4f916615c528caf5cbd640183d21a4f8  go-module  
github.com/aquasecurity/trivy-checks                                                 v1.8.0                                    go-module  
github.com/aquasecurity/trivy-db                                                     v0.0.0-20250227071930-8bd8a9b89e2d        go-module  
github.com/aquasecurity/trivy-java-db                                                v0.0.0-20240109071736-184bd7481d48        go-module  
github.com/aquasecurity/trivy-kubernetes                                             v0.8.0                                    go-module  
github.com/asaskevich/govalidator                                                    v0.0.0-20230301143203-a9d515a09cc2        go-module  
github.com/aws/aws-sdk-go                                                            v1.55.6                                   go-module  
github.com/aws/aws-sdk-go-v2                                                         v1.36.3                                   go-module  
github.com/aws/aws-sdk-go-v2/config                                                  v1.29.9                                   go-module  
github.com/aws/aws-sdk-go-v2/credentials                                             v1.17.62                                  go-module  
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                        v1.16.30                                  go-module  
github.com/aws/aws-sdk-go-v2/internal/configsources                                  v1.3.34                                   go-module  
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                                   v2.6.34                                   go-module  
github.com/aws/aws-sdk-go-v2/internal/ini                                            v1.8.3                                    go-module  
github.com/aws/aws-sdk-go-v2/service/ebs                                             v1.22.1                                   go-module  
github.com/aws/aws-sdk-go-v2/service/ec2                                             v1.207.1                                  go-module  
github.com/aws/aws-sdk-go-v2/service/ecr                                             v1.42.1                                   go-module  
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding                        v1.12.3                                   go-module  
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                          v1.12.15                                  go-module  
github.com/aws/aws-sdk-go-v2/service/s3                                              v1.78.1                                   go-module  
github.com/aws/aws-sdk-go-v2/service/sso                                             v1.25.1                                   go-module  
github.com/aws/aws-sdk-go-v2/service/ssooidc                                         v1.29.1                                   go-module  
github.com/aws/aws-sdk-go-v2/service/sts                                             v1.33.17                                  go-module  
github.com/aws/smithy-go                                                             v1.22.3                                   go-module  
github.com/beorn7/perks                                                              v1.0.1                                    go-module  
github.com/bgentry/go-netrc                                                          v0.0.0-20140422174119-9fd32a8b3d3d        go-module  
github.com/bitnami/go-version                                                        v0.0.0-20231130084017-bb00604d650c        go-module  
github.com/blang/semver                                                              v3.5.1+incompatible                       go-module  
github.com/blang/semver/v4                                                           v4.0.0                                    go-module  
github.com/bmatcuk/doublestar/v4                                                     v4.8.1                                    go-module  
github.com/briandowns/spinner                                                        v1.23.0                                   go-module  
github.com/cenkalti/backoff/v4                                                       v4.3.0                                    go-module  
github.com/census-instrumentation/opencensus-proto                                   v0.4.1                                    go-module  
github.com/cespare/xxhash/v2                                                         v2.3.0                                    go-module  
github.com/chai2010/gettext-go                                                       v1.0.2                                    go-module  
github.com/cheggaaa/pb/v3                                                            v3.1.7                                    go-module  
github.com/cloudflare/circl                                                          v1.6.0                                    go-module  
github.com/cncf/xds/go                                                               v0.0.0-20240905190251-b4127c9b8d78        go-module  
github.com/containerd/containerd                                                     v1.7.27                                   go-module  
github.com/containerd/containerd/api                                                 v1.8.0                                    go-module  
github.com/containerd/containerd/v2                                                  v2.0.4                                    go-module  
github.com/containerd/continuity                                                     v0.4.5                                    go-module  
github.com/containerd/errdefs                                                        v1.0.0                                    go-module  
github.com/containerd/errdefs/pkg                                                    v0.3.0                                    go-module  
github.com/containerd/fifo                                                           v1.1.0                                    go-module  
